               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.054451,            0.012018,           0.0023876,             0.81584,             0.94737,             0.83946,             0.50349,            0.034806,           0.0094884,           0.0012364,           0.0098317,           0.0098317,           0.0098317
                  36,            0.047108,            0.012985,           0.0025997,             0.69479,             0.76355,             0.73179,             0.33426,            0.037732,           0.0095315,           0.0013103,           0.0098268,           0.0098268,           0.0098268
                  37,            0.046281,            0.012606,           0.0027774,             0.86634,              0.9257,             0.89759,             0.53649,              0.0274,           0.0095414,           0.0014242,           0.0098218,           0.0098218,           0.0098218
                  38,            0.046348,            0.013165,           0.0028389,             0.65163,             0.73706,             0.80211,             0.32084,             0.03968,           0.0096313,           0.0013029,           0.0098169,           0.0098169,           0.0098169
                  39,            0.055446,            0.012261,           0.0023473,              0.7695,             0.91022,             0.87928,             0.55905,            0.031042,           0.0090896,           0.0012993,           0.0098119,           0.0098119,           0.0098119
                  40,            0.042791,            0.012388,           0.0022449,             0.78758,             0.94892,             0.92018,             0.60807,             0.02902,            0.008964,           0.0012275,            0.009807,            0.009807,            0.009807
                  41,            0.044575,            0.012464,           0.0021384,             0.70546,             0.93808,             0.90584,             0.42481,            0.031602,           0.0095459,           0.0010376,            0.009802,            0.009802,            0.009802
                  42,            0.042678,            0.011954,           0.0018304,             0.72219,             0.93808,             0.91969,              0.5827,            0.032048,           0.0087733,           0.0010278,            0.009797,            0.009797,            0.009797
                  43,            0.046955,             0.01129,           0.0020542,             0.90177,             0.94892,             0.95139,             0.51959,            0.025245,           0.0087351,          0.00095471,           0.0097921,           0.0097921,           0.0097921
                  44,            0.045813,            0.012289,           0.0019253,             0.88323,             0.94427,             0.94668,             0.34276,            0.040097,           0.0089368,          0.00096537,           0.0097871,           0.0097871,           0.0097871
                  45,            0.045543,            0.010834,           0.0020729,             0.93807,             0.94949,             0.97337,             0.52731,            0.032839,           0.0084164,           0.0010137,           0.0097822,           0.0097822,           0.0097822
                  46,            0.043556,            0.011965,           0.0022362,             0.94462,             0.95046,              0.9727,             0.40482,            0.031667,           0.0084662,           0.0010622,           0.0097773,           0.0097773,           0.0097773
                  47,            0.039111,             0.01164,           0.0018302,             0.88111,             0.88587,             0.90913,             0.43402,            0.033998,           0.0082778,           0.0010411,           0.0097723,           0.0097723,           0.0097723
                  48,            0.041937,            0.010841,           0.0021256,             0.96013,             0.94614,             0.97417,             0.55242,            0.031442,           0.0083544,           0.0011184,           0.0097674,           0.0097674,           0.0097674
                  49,            0.044044,            0.011505,           0.0021756,             0.95798,             0.95201,              0.9768,             0.64061,            0.026132,           0.0082027,           0.0011175,           0.0097624,           0.0097624,           0.0097624
                  50,            0.037871,            0.011044,           0.0018785,             0.79927,             0.85759,             0.79834,             0.23073,            0.038215,           0.0085924,           0.0010069,           0.0097575,           0.0097575,           0.0097575
                  51,            0.041323,            0.011284,           0.0019637,             0.82426,             0.95567,              0.9721,             0.62852,            0.029221,           0.0081004,           0.0010458,           0.0097525,           0.0097525,           0.0097525
                  52,            0.039105,             0.01139,           0.0020867,             0.90092,             0.96285,             0.93359,             0.63497,            0.029106,           0.0081643,          0.00099013,           0.0097476,           0.0097476,           0.0097476
                  53,            0.038132,            0.010518,           0.0019567,             0.71734,             0.89938,             0.82185,             0.38671,            0.030785,           0.0087708,           0.0011342,           0.0097426,           0.0097426,           0.0097426
                  54,            0.040786,            0.010153,           0.0022108,             0.94498,             0.97446,             0.97864,             0.58395,            0.029594,           0.0080916,           0.0013328,           0.0097377,           0.0097377,           0.0097377
                  55,            0.038305,             0.01097,           0.0022742,             0.92335,             0.95511,             0.94623,             0.40069,            0.033086,           0.0083169,           0.0012821,           0.0097327,           0.0097327,           0.0097327
                  56,            0.043342,            0.011367,           0.0020943,             0.91381,             0.97368,             0.94528,             0.64333,            0.028516,           0.0078742,           0.0011965,           0.0097278,           0.0097278,           0.0097278
                  57,            0.038426,             0.01117,            0.001725,             0.97067,             0.94613,             0.98232,              0.6867,             0.02935,           0.0076687,           0.0011162,           0.0097228,           0.0097228,           0.0097228
                  58,            0.042724,           0.0098257,           0.0021157,             0.95599,             0.98112,             0.98268,              0.6238,             0.02867,           0.0080037,           0.0011273,           0.0097179,           0.0097179,           0.0097179
                  59,            0.038354,            0.010114,           0.0020661,             0.85377,             0.86297,             0.80888,             0.31508,            0.028743,            0.008357,           0.0010561,           0.0097129,           0.0097129,           0.0097129
                  60,            0.038539,            0.010996,           0.0016707,              0.9237,             0.89344,             0.97121,             0.62091,            0.029901,           0.0075925,          0.00097871,            0.009708,            0.009708,            0.009708
